frame_id,timestamp,speed,input_throttle,input_steer,input_brake,x,y,z,pitch,yaw,roll
186521,73.38459968240932,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186522,73.38916570041329,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186523,73.40433784294873,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186524,73.41538102552295,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186525,73.42528613936156,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186526,73.4359307475388,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186527,73.44646489340812,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186528,73.46186055894941,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186529,73.47259781416506,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186530,73.48256646376103,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186531,73.49272916093469,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186532,73.50335969496518,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186533,73.51282346434891,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186534,73.52253632154316,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186535,73.53242807183415,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186536,73.54160260315984,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186537,73.55143790133297,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186538,73.56145399622619,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186539,73.57130670081824,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186540,73.58135654497892,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186541,73.59121907874942,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186542,73.60526415053755,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186543,73.61592500749975,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186544,73.62607005890459,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186545,73.63609720487148,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186546,73.64589982666075,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186547,73.65567316208035,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186548,73.66574647184461,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186549,73.67578842677176,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186550,73.68569315690547,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186551,73.69565652124584,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186552,73.70904874615371,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186553,73.71874039433897,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186554,73.72855590097606,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186555,73.7380544943735,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186556,73.74777928553522,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186557,73.7575530493632,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186558,73.76753485295922,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186559,73.77749278768897,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186560,73.78881542757154,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186561,73.79920211993158,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186562,73.8092194525525,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186563,73.81929172948003,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186564,73.82909460924566,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186565,73.83873774018139,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186566,73.84835162758827,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186567,73.85777712613344,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
186568,73.86783296428621,0.0,0.0,0.0,0.0,-15.448323249816895,-68.00706481933594,0.0018819808028638363,0.0,-179.4032440185547,0.0
